city,parkId,lag_1,lag_2,lag_3
Birmingham,BHMAPCARC01,134.0,133.5,92.0
Birmingham,BHMBCCMKT01,419.0,409.5,414.3333333333333
Birmingham,BHMBCCPST01,110.0,109.5,119.0
Birmingham,BHMBCCSNH01,165.0,159.0,157.0
Birmingham,BHMBCCTHL01,69.0,70.5,100.0
Birmingham,BHMBRCBRG01,336.0,377.0,485.0
Birmingham,BHMBRCBRG02,556.0,601.0,691.3333333333334
Birmingham,BHMBRCBRG03,535.0,554.5,592.3333333333334
Birmingham,BHMBRTARC01,96.0,88.5,87.0
Birmingham,BHMEURBRD01,102.0,104.0,127.66666666666667
Birmingham,BHMEURBRD02,77.0,77.5,82.0
Birmingham,BHMMBMMBX01,195.0,201.5,226.66666666666666
Birmingham,BHMNCPHST01,411.0,427.5,448.6666666666667
Birmingham,BHMNCPLDH01,135.0,133.5,145.66666666666666
Birmingham,BHMNCPNHS01,144.0,141.0,144.0
Birmingham,BHMNCPNST01,289.0,288.5,298.3333333333333
Birmingham,BHMNCPPLS01,294.0,303.5,322.6666666666667
Birmingham,BHMNCPRAN01,170.0,173.5,175.0
Birmingham,Broad Street,179.0,181.5,209.66666666666666
Birmingham,Bull Ring,1427.0,1532.5,1768.6666666666667
Birmingham,NIA Car Parks,1048.0,1052.0,1073.3333333333333
Birmingham,NIA North,477.0,478.5,477.3333333333333
Birmingham,NIA South,571.0,573.5,596.0
Birmingham,NIA West,643.0,649.0,650.0
Birmingham,Others-CCCPS105a,847.0,864.0,947.6666666666666
Birmingham,Others-CCCPS119a,2245.0,2256.5,2308.3333333333335
Birmingham,Others-CCCPS133,2205.0,2326.0,2616.3333333333335
Birmingham,Others-CCCPS135a,1025.0,1034.5,1070.3333333333333
Birmingham,Others-CCCPS202,1909.0,1915.5,1982.6666666666667
Birmingham,Others-CCCPS8,652.0,662.5,721.0
Birmingham,Others-CCCPS98,2175.0,2191.0,2248.3333333333335
Birmingham,Shopping,546.0,561.0,594.3333333333334
Glasgow,CPG01C,43.75,131.75,222.25
Glasgow,CPG02C,49.5,282.25,447.0
Glasgow,CPG03C,235.25,454.75,639.25
Glasgow,CPG04C,1969.9166666666667,1969.8333333333333,1969.75
Glasgow,CPG05C,810.0,810.0,810.0
Glasgow,CPG06C,27.5,162.5,269.0
Glasgow,CPG07C,24.5,127.25,281.25
Glasgow,CPG21C,28.25,27.5,22.5
Glasgow,CPG24C,374.5,722.75,996.0
Glasgow,CPG25C,1098.25,1179.0,1263.0
Norfolk,C06391,511.0,545.0,546.8
Norfolk,CPN0001,264.0,264.0,264.0
Norfolk,CPN0003,391.5,586.75,590.125
Norfolk,CPN0004,409.75,647.25,649.1583333333333
Norfolk,CPN0005,47.25,73.75,73.70833333333333
Norfolk,CPN0006,126.25,157.25,158.29166666666666
Norfolk,CPN0007,156.5,331.75,351.875
Norfolk,CPN0008,121.25,424.75,447.375
Norfolk,CPN0009,131.5,193.0,193.8
Norfolk,CPN0010,579.0,579.0,579.0
Norfolk,CPN0011,235.25,371.75,391.4375
Norfolk,CPN0012,478.25,586.5,602.0769230769231
Norfolk,CPN0013,271.5,363.5,376.53846153846155
Norfolk,CPN0014,661.5,752.25,777.0769230769231
Norfolk,CPN0015,708.0,820.5,834.0769230769231
Norfolk,CPN0016,218.25,373.25,402.5625
Norfolk,CPN0017,560.0,900.0,903.6
Nottingham,210,14.75,19.25,48.0
Nottingham,211,21.0,21.75,25.0
Nottingham,212,43.25,42.5,49.25
Nottingham,Am2-1,107.45058626465658,107.90117252931321,108.35175879396985
Nottingham,Am3-2,193.40871021775547,193.8174204355109,194.22613065326635
Nottingham,BRDMAR,1167.0,1167.0,1167.0
Nottingham,BRDMSH,1105.1340033500837,1105.2680067001675,1105.4020100502512
Nottingham,C11001,1.75,0.25,0.0
Nottingham,C11002,0.0,0.0,0.0
Nottingham,C11004,19.5,12.75,3.75
Nottingham,C11005,7.25,6.75,6.75
Nottingham,C11006,278.5,285.5,310.75
Nottingham,C11007,170.0,170.0,170.0
Nottingham,C12002,77.0,77.0,77.0
Nottingham,CPM_22,881.75,882.25,853.25
Nottingham,FRSTPR,213.0,230.5,275.0
Nottingham,LACEMK,200.25,222.0,258.25
Nottingham,PHNXPR,51.25,60.75,88.5
Nottingham,PRLMNT,19.0,29.5,53.25
Nottingham,QNSPR,90.75,101.75,154.5
Nottingham,RYLCT,419.25,419.0,416.25
Nottingham,SB1-1,293.5,302.25,316.0
Nottingham,TRINSQ,124.75,156.0,198.5
Nottingham,VICNTH,673.5,714.25,790.0
Nottingham,VICSTH,783.0,854.5,986.0
